標記內容	宣傳手法	原句	
民意	FW	讓 人民 實質 控制 最 高 民意 機關 ，	
民意	FW	雙方 要 比 的 是 誰 貼近 民意 。	
民意	FW	也 要 受 民意 嚴格 檢驗 ，	
國安	FW	加上 她 所 推出 的 「 國安 顧問團 」 顯 有 物以類聚 的 特質 ，	
民意	FW	就 必須 以 民意 為 標準 ，	
民意	FW	顯 與 台灣 民意 背道而馳 。	
民意	FW	以 長期 追蹤 民意 的 新 台灣 國策 智庫 民調 為 例 ，	
主權	FW	至少 六成 以上 台灣 人民 認為 台灣 是 一 個 主權 獨立 國家 ，	
民意	FW	卻 與 廣大 民意 脫節 ；	
民意	FW	且 不惜 違逆 民意 潮流 而 行 ，	
國家 安全	FW	宣稱 要 以 此 「 確保 兩岸 和平 、 國家 安全 、 國際 空間 開拓 」 。	
民意	FW	其實 要 看 它 自己 能否 認清 民意 與 時勢 ，	
心聲	FW	已 道出 不少 人民 心聲 ；	
主權	FW	也 出現 「 不 享有 主權 或 無法 對 自身 國際 關係 行為 負責 的 申請 方 」 ，	
主權	FW	反而 可以 鞏固 台灣 主權 ，	
民意	FW	執意 與 多數 民意 站 在 對立面 。	
民意	FW	遭到 民意 唾棄 ，	
民意	FW	民意 調查 也好 ，	
民主 價值	FW	而且 有 戰略 機會 與 美國 形成 基於 民主 價值 的 「 台美 共識 」 ，	
主權	FW	不惜 犧牲 國家 主權 、 國內 產業 ，	
心聲	FW	當今 最 直 白 的 心聲 ，	
民調	FW	民調 低迷 不振 ，	
民意	FW	民意 滿意度 剩下 九 趴 左右 ，	
民意	FW	美國 方面 當然 很 清楚 台灣 民意 的 新 趨勢 。	
國安	FW	還 通過 「 反 分裂 國家法 」 、 「 國安法 」 ，	
國家 安全	FW	白宮 國家 安全 顧問 公開 表示 ，	
主權	FW	導致 台灣 從 主權 獨立 到 經濟 自主 都 有 流失 之 虞 。	
民意	FW	人民 展現 新 民意 ，	
民意	FW	被 民意 唾棄 的 馬英九 ，	
民意	FW	對 多數 民意 置若罔聞 ，	
民意	FW	沒有 貼近 主流 民意 ，	
民意	FW	何必 把 主流 民意 當真 ？	
民意	FW	真 有 更 接近 主流 民意 嗎 ？	
民意	FW	主流 民意 置若罔聞 ，	
民意	FW	國民黨 執意 背離 民意 ，	
民意	FW	這 是 台灣 主流 民意 的 大勢 所 趨 。	
民意	FW	不顧 民意 ，	
民意	FW	更 應 尊重 新 民意 ，	
主權	FW	一 個 攸關 台灣 主權 的 兩岸 領導人 會面 ，	
民意	FW	這 個 最 高 民意 機關 ，	
民調	FW	已 具體 反映 於 近年 民調 、 選票 及 太陽 花 運動 ；	
民意	FW	正 是 對 普遍 民意 的 忠實 回應 ；	
民意	FW	社論 》 廣納 民意 者 廣納 選票	
民意	FW	也 讓 大家 對於 各 黨 對 民意 的 回應 有 更 進一步 的 認識 。	
民意	FW	缺乏 廣納 民意 的 企圖心 。	
民意	FW	一定 要 依 民意 調整 步伐 ，	
民意	FW	兩 眼 不 看 多數 民意 ，	
主權	FW	排除 堅持 台灣 主權 背景 者 ，	
民意	FW	台灣 民意 傾向 維持 獨立 現狀 ，	
民意	FW	與 台灣 民意 漸 行 漸 遠 ，	
民意	FW	以致 對 台灣 民意 不屑一顧 ？	
心聲	FW	這 也 正 是 許多 民眾 的 共同 心聲 ，	
民意	FW	只 聽 黨意 而 心 中 毫無 民意 ，	
民意	FW	廣大 民意 也 難以 接受 。	
民意	FW	老共 卻 以 各 種 手法 左右 民意 ，	
民主	FW	遂 令 「 中華 台北隊 」 搞 得 台灣 民主 失 能 、 政府 失靈 、 經濟 失血 、 人民 失業 。	
民調	FW	各 方 民調 支持度 相當 懸殊 ，	
民意	FW	馬 政府 本 有 高 民意 支持度 ，	
民調	FW	民調 就是 起 不 來 。	
民意	FW	一切 交由 新 民意 定奪 ？	
民意	FW	表達出 民意 多麼 反對 馬 政府 ，	
民意	FW	不 願 以 民 為主 緊跟 民意 。	
民意	FW	有 人 根本 與 民意 背道而馳 ，	
民意	FW	有 人 本質 上 與 民意 站 在 同 一 邊 ，	
民意	FW	但 為了 保留 權力 轉圜 空間 刻意 與 民意 若即若離 。	
民意	FW	體現出 從政 者 不 服從 民意 ，	
烏賊 戰術	FW	還 放任 烏賊 戰術 搞 黑 戰場 ，	
民調	FW	至於 各 種 民調 顯示 ，	
民意	FW	認同 台灣 反 併吞 的 民意 趨勢 快速 攀升 ，	
民意	FW	這樣 的 民意 走向 ，	
民意	FW	因為 候選 名單 上 找 不 到 如實 反映 民意 者 ，	
民意	FW	習於 罔顧 民意 ，	
民意	FW	導致 民意 落空 ，	
民意	FW	例如 國民黨 之 背離 民意 ，	
打壓	FW	甚至 與 外力 聯手 打壓 民意 ；	
民意	FW	甚至 與 外力 聯手 打壓 民意 ；	
民意	FW	例如 民進黨 之 與 民意 保持 距離 。	
民意	FW	國民黨 完全 對立 民意 ，	
民意	FW	以致 遭 民意 當頭棒喝 ；	
民意	FW	但 民進黨 顯然 也 低估 民意 ，	
民意	FW	其實 就是 為 對立 民意 的 陣營 儲藏 能量 ，	
民調	FW	選 前 各 方 民調 多 預期 將 出現 歷來 首見 政黨 輪替 。	
民意	FW	已 因 黨意 永遠 凌駕 民意 ，	
民調	FW	大選 民調 顯示 執政黨 即將 大敗 ，	
民意	FW	這 也 提供 新 政府 堅強 的 民意 基礎 ，	
民意	FW	他 是否 充分 尊重 已 決 的 沛然 民意 ，	
國安	FW	就 應 進行 國安 移交 」 之 議 ，	
國家 安全	FW	這 是 基於 國家 安全 及 憲政 發展 的 必要 之 舉 。	
民意	FW	這 次 民意 反撲 ，	
民意	FW	對 馬 政府 妄圖 通過 與 中國 的 服貿 協議 且 無視 民意 及 程序 正義 ，	
民意	FW	兩 人 與 台灣 主流 民意 相去 如此 遙遠 ，	
國家 安全	FW	基於 台灣 國家 安全 的 必要 考量 與 行動 ，	
公民 覺醒	FW	也 一 步 一 腳印 連結 出 公民 覺醒 的 民主 里程 。	
民意	FW	能夠 結合 民意 奪取 黨權 ，	
民意	FW	於是 該 黨 的 自我 改革 、 迎向 民意 也 便 成為 不可能 的 任務 ，	
民意	FW	如果 辜負 民意 ，	
民意	FW	民意 如 流水 ，	
民意	FW	如果 民進黨 執政 不符 民意 ，	
民意	FW	加速 背離 民意 ，	
主權	FW	對於 主權 在 民 的 台灣 ，	
民意	FW	社論 》 新 國會 要 反映 台灣 新 民意	
民意	FW	新 國會 要 反映 台灣 新 民意	
民意	FW	台灣 民意 走向 如此 明顯 ，	
民意	FW	這 就是 民意 的 可貴 ，	
民意	FW	應 即 忠實 反映 新 民意 ，	
民意	FW	都 簡單 明白 而 貼近 民意 與 現實 。	
民意	FW	新 民意 既已 拒絕 馬 政府 全面 親 中 政策 ，	
民意	FW	新 國會 反映 新 民意 ，	
民意	FW	既 忠實 反映 民意 ，	
民意	FW	台灣 民意 充分 展現 ，	
民調	FW	近年 民調 不斷 顯示 ，	
民意	FW	全然 無視 民意 。	
民意	FW	立委 須 回歸 傾聽 民意 ，	
民意	FW	與 年輕 世代 及 更 廣大 的 社會 民意 一直 站 在 對立面 的 國民黨 ，	
民意	FW	太陽花 兩 年 來 因此 顯 已 激發 民意 ，	
民意	FW	就 民意 而 言 ，	
民意	FW	台灣 民意 透過 大選 已 清楚 表達 ，	
民意	FW	不惜 與 台灣 民意 站 在 對立面 ，	
民意	FW	中國 背離 台灣 民意 ，	
民意	FW	自己 也 因 聽信 政媒 讕言 而 與 台灣 民意 對立 。	
讕言	FW	自己 也 因 聽信 政媒 讕言 而 與 台灣 民意 對立 。	
主權	FW	說出 主權 國家 的 格局 ，	
民意	FW	沒 太多 民意 說話 的 份 ，	
民調	FW	但是 台灣 人民 最終 卻 給 了 他 個人 最 低 的 民調 支持 ，	
民意	FW	是 沒有 辦法 以 民意 為 後盾 全力 攘外 的 。	
民意	FW	「 九 趴 」 民意 反映 在 兩 次 大選 大敗 ，	
民意	FW	但 畢竟 匯聚 了 主流 民意 ，	
民意	FW	重大 決策 與 民意 為敵 ，	
主權	FW	卻 把 台灣 的 民主 、 主權 、 安全 、 民生 搞 得 一塌糊塗 。	
民主	FW	卻 把 台灣 的 民主 、 主權 、 安全 、 民生 搞 得 一塌糊塗 。	
民意	FW	承接 頭家 授權 也 須 接受 民意 檢驗 ，	
民意	FW	遵循 民意 唾棄 九二 共識 ，	
民意	FW	但 依 目前 的 民意 氣候 來 看 ，	
民意	FW	民意 如 流水 ，	
主權	FW	主權 在 民 ，	
民意	FW	所以 總是 與 民意 對撞 ，	
民意	FW	一 上任 就 要 端出 「 牛肉 」 、 接受 民意 考驗 。	
民意	FW	有 台灣 強大 民意 為 依靠 ，	
民意	FW	只要 新 政府 一切 以 民意 為 依歸 ，	
主權	FW	但 至少 對 台灣 主權 論述 沒有 曖昧 ；	
民意	FW	在 新 的 民意 氣候 下 穩健 航行 ，	
民意	FW	至今 仍 契合 主流 民意 。	
國安	FW	政府 應 拉高 到 國安 層次 來 綢繆 。	
民意	FW	獲得 民意 肯定 。	
民意	FW	政府 與 民意 將 漸 行 漸 遠 。	
漸 行 漸 遠	FW	政府 與 民意 將 漸 行 漸 遠 。	
民意	FW	長期 漠視 民意 也 是 民怨 發酵 的 大 悶 鍋 。	
民意	FW	都 是 長期 漠視 民意 與 公民權 利 所 致 。	
民意	FW	新 的 民意 氣候 ，	
民意	FW	重大 決策 切記 傾聽 民意 ，	
民意	FW	讓 民意 成為 國家 的 引水人 。	
主權	FW	它 不 是 往 伸張 台灣 主權 的 方向 前進 ，	
民意	FW	認同 台灣 的 主流 民意 擴大 深化 ，	
主權	FW	「 台灣 是 一 主權 獨立 國家 ，	
民意	FW	符合 主流 民意 的 長期 走勢 。	
民意	FW	難道 要 反噬 民意 微調 現狀 ，	
民意	FW	對撞 主流 民意 ，	
心聲	FW	傾聽 人民 的 心聲 。	
民意	FW	貼近 民意 的 公義 欲求 ，	
民意	FW	與 一般 常識 與 主流 民意 漸 行 漸 遠 ，	
民意	FW	既然 民意 授命 ，	
民調	FW	陸委會 且 做出 五二○ 以來 支持 台獨 者 降低 的 詭異 民調 。	
民意	FW	向 更 少數 的 民意 角落 與 北京 立場 靠攏 。	
主權	FW	主權 流失 怵目驚心 ，	
民主 價值	FW	杜絕 兩 個 黨國 顛覆 民主 價值 。	
國安	FW	倒是 前 國安會 副秘書長 陳忠信 點出 ，	
心聲	FW	說出 台灣 人民 的 普遍 心聲 ，	
民意	FW	台聯 的 行動 正 反映 這 一 民意 。	
民意	FW	只 讓 國民黨 背離 民意 更 遙遠 ，	
民意	FW	服貿 協議 、 黑箱 課綱 被 民意 洪流 擋 了 下來 。	
主權	FW	陳水扁 以 執政 高度 堅持 台灣 主權 、 一 邊 一 國 ，	
主權	FW	國家 主權 論述 處於 灰色 地帶 。	
民意	FW	洪秀柱 更 無視 台灣 主流 民意 ，	
主權	FW	強調 中華民國 是 主權 獨立 國家 ，	
民意	FW	至少 要 遷就 主流 民意 ，	
民意	FW	絕大 多數 民意 維持 台灣 獨立 現狀 ，	
主權	FW	只要 接受 主權 在 民 的 遊戲 規則 ，	
主權	FW	併吞 主權 獨立 的 台灣 ，	
主權	FW	站穩 台灣 主權 屬於 台灣 人民 的 立場 ，	
主權	FW	隨著 中國 加緊 對 台灣 主權 的 霸凌 侵奪 ，	
民意	FW	如此 快速 擴大 民意 基礎 ，	
民意	FW	努力 貼近 主流 民意 ，	
民意	FW	與 主流 民意 背道而馳 ，	
民意	FW	而 現實 上 政見 組合 愈 接近 主流 民意 ，	
民意	FW	繼續 反 主流 民意 而 行 。	
民意	FW	在在 都 是 民意 所 切望 ，	
民意	FW	契合 民意 的 「 台灣 國民黨 」 看來 不會 出現 在 這 次 的 主席 選舉 。	
主權	FW	結果 帶來 主權 、 經濟 巨大 危機 ，	
民調	FW	但 從此 以後 他 的 民調 也 是 快速 走下坡 ，	
民調	FW	民調 是 參考 ，	
民意	FW	迅速 有效 回應 民意 。	
民意	FW	也 是 基於 這 種 民意 新 趨勢 的 警覺 。	
民意	FW	民意 如 急流 ，	
民意	FW	錯失 儘早 察覺 民意 風向 的 契機 。	
民意	FW	而 自己 昧於 民意 如 流水 ，	
民調	FW	短 時間 內 民調 雪崩式 下滑 ，	
民意	FW	民意 支持 逐漸 鬆動 ，	
民調	FW	柯文哲 、 馬英九 民調 溜滑梯 ，	
民意	FW	民意 挫折 容忍力 極 低 ，	
民意	FW	權力 高層 似 對 這樣 的 民意 未 予 快速 回應 。	
民調	FW	陸委會 的 最 新 民調 顯示 ：	
主權	FW	選 邊 站 也 不能 選 企圖 併吞 我國 主權 者 。	
民意	FW	但 與 民意 感受 實有 一段 距離 ，	
主權	FW	較少 凸顯 台灣 主權 獨立 現狀 ，	
民意	FW	依舊 選擇 敵視 主流 民意 的 牆角 ；	
國家 安全	FW	抵制 維護 國家 安全 的 認同 、 保防 、 防禦 等 ，	
民意	FW	背對 台灣 主流 民意 ，	
民調	FW	成為 拖垮 民調 的 原因 之 一 ，	
民意	FW	爭取 社會 多數 民意 支持 。	
民調	FW	民調 顯示 ，	
民意	FW	反 年金 改革 者 明顯 是 民意 的 少數 或 甚至 站 在 一般 公眾 的 對立面 。	
民調	FW	也 未必 不能 成為 民調 中 的 多數 。	
民意	FW	反而 激發 更 強大 的 改革 民意 。	
民意	FW	包括 先 建立 監督 機制 再 審查 、 資訊 公開 、 民意 高於 黨意 等 主張 ，	
主權	FW	主權 、 外交 、 國防 、 經濟 為之 耗弱 ，	
民意	FW	照理 說 朝野 政要 應當 體察 民意 好惡 ，	
民調	FW	但 從 選舉 、 民調 來 看 ，	
民意	FW	所以 還 把 台灣 主流 民意 看 在 眼 裡 ，	
民意	FW	也 得以 在 台灣 有 足夠 的 民意 基礎 為 前提 ，	
民意	FW	不 敢 完全 不 顧慮 民意 、 不 顧慮 美國 ，	
民意	FW	便 不得不 爭取 台灣 的 主流 民意 。	
民意	FW	而 國民黨 停留 在 主流 民意 輻射 範圍 內 ，	
民調	FW	至於 多 家 媒體 民調 顯示 ，	
民意	FW	民進黨 或 比 國民黨 更 貼近 民意 ，	
民意	FW	目前 的 民意 想像 ，	
民意	FW	背後 的 主流 民意 要求 ，	
民意	FW	在 民主 時代 要 贏得 多數 民意 ，	
民調	FW	跟 民調 高達 六成 的 支持率 ，	
民意	FW	與 整體 社會 的 主流 民意 漸 行 漸 遠 。	
主權	FW	進一步 彰顯 台灣 之 主權 在 民 。	
公民 覺醒	FW	有鑑於 台灣 的 民主 多元 、 公民 覺醒 ，	
民意	FW	民意代表 的 定期 改選 ，	
民意	FW	代議 民主 與 主流 民意 之間 出現 緊張 ，	
民意	FW	甚至 黨意 公然 凌駕 民意 ，	
民意	FW	真實 民意 隱 而 不彰 ，	
民意	FW	無非 是 少數 民粹 與 多數 民意 的 對撞 。	
民意	FW	為 多數 民意 打開 大門 ，	
民意	FW	愈 需要 事 前 的 多數 民意 集結 。	
民意	FW	小英 政府 的 民意 支持度 也 遭受 磨損 ，	
民意	FW	即使 擁有 六成 民意 支持 ，	
民意	FW	冷卻 了 民意 的 支持 熱情 。	
民意	FW	其 得失 對 民意 觀感 更 容易 產生 直接 印象 ，	
民調	FW	對於 國民 兩 黨 可能 候選人 的 民調 差距 ，	
民調	FW	三 個 月 內 一定 可 把 民調 拉平 」 。	
主權	FW	主權 在 民 意識 高漲 ，	
民意	FW	需要 回溯 民意 付託 來 突圍 。	
民意	FW	面對 改革 民意 能 擋 就 擋 、 以 撐 待 變 ，	
民意	FW	主流 民意 頭 也 不 回 地 往 「 國 與 國 」 的 定位 前進 ，	
主權	FW	國民黨 只 學 兩 蔣 抗拒 主權 在 民 ，	
民意	FW	以致 百 年 老店 在 民意 市場 難 有起色 。	
民意	FW	前者 貼近 台灣 主流 民意 ，	
民意	FW	後者 至今 黨意 高於 民意 。	
民意	FW	背離 民意 將 遭 民意 拋棄 得 更 遠 ，	
民意	FW	台灣 的 主流 民意 ，	
民意	FW	順 主流 民意 則 昌 ，	
民意	FW	逆 主流 民意 則 亡 ；	
民意	FW	政客 可以 欺騙 主流 民意 於 一時 ，	
民意	FW	無法 欺騙 主流 民意 於 永遠 ，	
民意	FW	馬英九 表面 上 迎合 主流 民意 ，	
民意	FW	執政 八 年 卻 與 主流 民意 背道而馳 ，	
民意	FW	沒有 人 可以 用 意識 形態 綁架 主流 民意 ，	
民意	FW	黨意 凌駕 民意 的 時代 一去不復返 了 。	
民意	FW	言行 早 被 主流 民意 唾棄 了 ，	
民意	FW	對 台灣 主流 民意 毫無 影響 。	
民意	FW	只 會 讓 台灣 的 主流 民意 對 北京 漸 行 漸 遠 。	
民意	FW	都 應 跟 台灣 主流 民意 ，	
民意	FW	尤其 是 主流 民意 所 選出 的 政府 對話 ，	
民意	FW	亦 非 疏離 主流 民意 的 政黨 ，	
民意	FW	不啻 是 拒絕 與 主流 民意 對話 ，	
民意	FW	誤以為 迴避 主流 民意 、 拉攏 親 中 勢力 ，	
民意	FW	不然 就 得以 主流 民意 為 標竿 進行 基因 改造 ！	
主權	FW	主權 方面 有 戰略 盟友 共同力 抗 中國 威脅 ，	
主權	FW	所以 對 台灣 全力 操弄 「 以 經濟 腐蝕 主權 」 。	
主權	FW	活化 經濟 與 捍衛 主權 ，	
主權	FW	經濟 環境 搞好 就是 維持 主權 現狀 的 要害 。	
主權	FW	本來 就 主張 台灣 主權 獨立 ，	
民意	FW	彷彿 終極 統一 代表 台灣 的 主流 民意 。	
主權	FW	維持 台灣 主權 獨立 現狀 才 是 台灣 共識 。	
民意	FW	如果 連 台灣 的 最 高 行政 首長 在 最 高 民意 機關 ，	
民調	FW	民調 支持度 欲振乏力 ，	
民調	FW	小英 政府 雖然 民調 低迷 ，	
民意	FW	小英 政府 願意 傾聽 民意 ，	
主權	FW	各自 主權 獨立 ，	
民意	FW	維持 現狀 走向 獨立 成為 穩定 的 主流 民意 ，	
公民 覺醒	FW	它 未必 是 上街 遊行 而是 一 種 公民 覺醒 運動 。	
民意	FW	只要 主流 民意 選擇 本土 政權 ，	
國安	FW	社論 》 黑槍 治安 國安	
國安	FW	那 就 更 有 國安 之 虞 了 。	
國安	FW	國安 想像 並 非 杞人憂天 ，	
國安	FW	這 種 比較 敏感 的 國安 想像 ，	
國安	FW	這 對 台灣 的 治安 與 國安 皆 屬 警訊 ，	
民意	FW	選擇 具有 政治 象徵 意義 卻 相對 脆弱 的 行政 或 民意 機構 ，	
民意	FW	民意 高度 支持 的 年改 ，	
國安	FW	治安 與 國安 應該 一 盤 棋 來 看 ，	
國安	FW	當 川普 認定 美 中 的 貿易 逆差 、 智財權 盜用 與 強迫 技轉 等 爭議 為 國安 問題 ，	
主權	FW	最後 連 政治 主權 都 丟掉 了 ，	
民意	FW	「 被 統派 」 因而 在 台灣 的 民意 市場 一路 萎縮 ，	
民意	FW	不但 不甘 順從 民意 ，	
民意	FW	竟 導致 民意 支持度 低迷 不振 。	
民意	FW	民意 對 執政 者 的 期待 也 相對 提高 了 。	
民意	FW	完全 執政 承擔 了 高度 民意 期待 ，	
民意	FW	民意 的 失望 也 會 形成 更 強烈 的 對比 。	
民調	FW	兩 年 多 來 的 民調 低迷 ，	
民意	FW	讓 民意 耳目一新 ，	
捍衛 民主	FW	為了 捍衛 民主 ，	
民意	FW	付出 了 民意 支持度 的 代價 。	
民意	FW	展現 了 主流 民意 的 民主 選擇 ，	
主權	FW	把 台灣 主權 硬生生 地 鎖入 中國 。	
公民 覺醒	FW	太陽 花 學運 刺激 了 公民 覺醒 ，	
民意	FW	在 二○一六 的 大選 瞬間 壓縮 背離 民意 的 國民黨 的 政治 能量 。	
民意	FW	推動 超過 半數 以上 民意 支持 的 改革 ，	
主權	FW	台灣 的 民主 與 主權 危 矣 ！	
民意	FW	小英 政府 也 正面 回應 最 新 民意 ，	
民意	FW	是否 意味 著 台灣 主流 民意 已經 對 改革 、 正義 不再 在乎 ，	
民意	FW	他們 在 國家 論述 上 更 藐視 二○一六 所 呈現 的 主流 民意 ，	
民意	FW	只 給 一 個 缺乏 足夠 民意 基礎 的 特 首 ，	
民意	FW	絕大 多數 台灣 民意 堅決 反對 一國兩制 」 ，	
國安	FW	當前 情勢 嚴峻 」 是 葉國興 接受 國安會 副秘書長 當天 表示 的 一 句 警語 。	
國安	FW	大眾 所 盼望 的 「 國安 立法 」 一 無 所 成 。	
國家 安全	FW	對 國家 安全 面對 中國 的 滲透 ，	
國家 安全	FW	遑論 什麼 「 國家 機密 保護法 」 、 「 科技 保護法 」 、 「 國家 安全 查核 制度 」 。	
主權	FW	完全 侵害 我國 主權 ，	
國安	FW	尤其 國安 立法 而 言 ，	
國安	FW	難道 六十九 席 立委 經 三 年 努力 連 一 個 國安 立法 都 通 過不了 ？	
國安	FW	在 剩下 的 八 個 月 期間 完成 一 套 有力 可行 的 國安法制 ，	
主權	FW	包藏 在 裡面 的 毒藥 則 是 主權 掠奪 ，	
主權	FW	主權 一旦 到手 了 ，	
民意	FW	雙 普選 的 強烈 民意 要求 ，	
主權	FW	國家 主權 意識 啦 ，	
民意	FW	民意 支持度 也 在下 樓梯 ，	
天安門 事件	HA	幹出 「 台灣版 天安門 事件 」 ，	
美麗島 事件	HA	一如 一九七九年 的 美麗島 事件 ，	
「 引 清兵 入關 」	HA	這 位 九 趴 總統 會不會 像 亞努科維奇 那樣 「 引 清兵 入關 」 。	
美麗島 事件	HA	卻 仍 如 三十多 年前 美麗島 事件 的 翻版 。	
美麗島 事件	HA	黨國 當局 處理 美麗島 事件 ，	
美麗島 事件	HA	從 美麗島 事件 看 如今 學運 ，	
美麗島 事件	HA	凡 此手法 都 見 諸 美麗島 事件 。	
美麗島 事件	HA	高雄 美麗島 事件 ，	
引 清兵 入關	HA	絕不 可 「 引 清兵 入關 」 ，	
美麗島 事件	HA	更 有 中壢 事件 、 「 中 美 斷交 」 、 美麗島 事件 、 江南案 ，	
美麗島 事件	HA	台灣 從 一九七九 美麗島 事件 到 二○一四 太陽 花 學運 ，	
天安門 事件	HA	中國 從 一九八九 天安門 事件 到 二○○八 的 零八 憲章 ，	
粗暴	LL	社論 ─ 粗糙 ． 粗暴 ． 蠻橫 ． 愚蠢	
混亂	LL	在 國會 全武行 的 混亂 中 ，	
剝奪	LL	剝奪 了 人民 表意 的 自由 ，	
譴責	LL	提出 最 嚴厲 的 抗議 與 譴責 ；	
動盪	LL	否則 社稷 陷入 動盪 的 嚴重 後果 ，	
暴力	LL	徹底 不顧 程序 正義 的 多數 暴力 ，	
永無寧日	LL	已經 讓 國會 今後 就此 癱瘓 、 永無寧日 ，	
癱瘓	LL	已經 讓 國會 今後 就此 癱瘓 、 永無寧日 ，	
惡果	LL	種下 了 惡果 。	
硬	LL	硬 在 去年 六月 由 海基 、 海協 兩 會 逕行 「 畫押 」 的 服貿 協議 ，	
粗糙	LL	卻 在 政府 粗糙 輕忽 的 態度 中 ，	
輕忽	LL	卻 在 政府 粗糙 輕忽 的 態度 中 ，	
愚蠢	LL	犯下 諸多 愚蠢 且 致命 的 錯誤 。	
錯誤	LL	犯下 諸多 愚蠢 且 致命 的 錯誤 。	
罔顧	LL	事 後 更 罔顧 眾多 各 行業 經營 者 不斷 提出 警告 ，	
濫行	LL	仍 執意 濫行 ，	
不可 原諒	LL	實在 不可 原諒 。	
卸責	LL	不容 主管 部門 再行 搪塞 卸責 。	
搪塞	LL	不容 主管 部門 再行 搪塞 卸責 。	
蠻幹	LL	這 個 政府 在 蠻幹 之餘 ，	
傷害	LL	尤其 是 嚴峻 的 傷害 。	
威脅	LL	其 衝擊 遠大 於 其他 國家 業者 所 帶來 的 威脅 。	
五花大綁	LL	台灣 少數 特定 企業 五花大綁 去 中國 打拚 ，	
門戶 大開	LL	中國 國企 卻 可 全面 進入 門戶 大開 的 台灣 ，	
宰殺	LL	宰殺 所有 產業 ，	
軟土 深 掘	LL	這 個 政府 軟土 深 掘 ，	
險境 ，	LL	將 人民 直接 曝 於 險境 ，	
毫不 在意 。	LL	毫不 在意 。	
糞土	LL	這 已經 是 把 民意 當作 糞土 。	
危機 的 時刻	LL	我們 也 將 呼籲 全體 國人 必須 正視 這 個 最 危機 的 時刻 ，	
毀壞	LL	當 民選 政府 已經 毀壞 民主 機制 時 ，	
血腥	LL	| 2014 - 03 - 26 | 自由時報 | A 02 | 反 服貿 血腥 鎮壓 | 社論 | By 何 新興	
抹黑	LL	把 手無寸鐵 的 學生 抹黑 為 「 暴民 」 ，	
幹譙	LL	不僅 國人 一 片 幹譙 ，	
譴責	LL	國際 媒體 也 嚴厲 譴責 。	
暴力	LL	反而 是 政府 的 語言 暴力 不斷 升級 ，	
暴力	LL	最後 化 語言 暴力 為 行動 暴力 。	
暴力	LL	最後 化 語言 暴力 為 行動 暴力 。	
國民黨 「 暴政 」	LL	這 根本 是 國民黨 「 暴政 」 下 的 「 暴鎮 」 ！	
惡評	LL	國際 惡評 、 抗議 連署 、 罷課 風潮 方興未艾 。	
暴力	LL	一九四七年 二月 二十八日 國民黨 暴力 鎮壓 反 政府 示威 ，	
惡評	LL	儘管 惡評 如 潮 ，	
爛 講義	LL	把 爛 講義 再 念 一 遍 吧 。	
權謀	LL	利用 權謀 算計 讓 太陽 花 學運 的 氣勢 再 而 衰 、 三 而 竭 ，	
壓制	LL	同時 壓制 在野黨 。	
交叉 感染	LL	馬 政府 已經 交叉 感染 了 國民黨 威權 遺毒 與 共產黨 專政 遺毒 ，	
遺毒	LL	馬 政府 已經 交叉 感染 了 國民黨 威權 遺毒 與 共產黨 專政 遺毒 ，	
遺毒	LL	馬 政府 已經 交叉 感染 了 國民黨 威權 遺毒 與 共產黨 專政 遺毒 ，	
目 無 頭家	LL	他們 總是 目 無 頭家 ，	
背對 人民	LL	他們 永遠 背對 人民 。	
來 洗 人民 的 腦	LL	他們 只 想 用 臭 酸 的 政治 宣導 來 洗 人民 的 腦 ，	
臭 酸 的 政治 宣導	LL	他們 只 想 用 臭 酸 的 政治 宣導 來 洗 人民 的 腦 ，	
恐嚇	LL	甚至 動員 利益 共同體 的 企業 來 恐嚇 人民 ；	
背離	LL	想 用 公民權 拆掉 這 個 背離 民意 的 政府 ，	
暴力	LL	他們 就 搬出 國家 暴力 來 「 法治 」 ：	
蹂躪	LL	無疑 是 影射 蔣介石 的 「 中國 軍閥 鐵蹄 」 蹂躪 台灣 人民 。	
被迫	LL	而 一九六○年 被迫 停刊 的 《 自由 中國 》 雜誌 ，	
封殺	LL	立刻 遭 中國 影視 公司 封殺 。	
封殺	LL	台灣 藝人 聲援 學生 者 遭 中國 封殺 ，	
任 人 宰割	LL	下場 就是 這樣 任 人 宰割 ！	
罔顧	LL	罔顧 民怨 強推 服貿 ，	
騙局	LL	馬英九 自己 拆穿 了 「 以 台灣 為主 、 對 人民 有利 」 的 騙局 。	
覺醒	LL	促使 愈來愈 多 人民 覺醒 ，	
激勵	LL	激勵 愈來愈 多 人民 抗爭 。	
日薄西山	LL	馬英九 政權 日薄西山 ，	
太陽 花 學子	LL	老把戲 打 不 倒 太陽 花 學子	
一意孤行	LL	九 趴 總統 至今 仍 執迷 不誤 、 一意孤行 。	
執迷 不誤	LL	九 趴 總統 至今 仍 執迷 不誤 、 一意孤行 。	
跳針式 喊話	LL	這 個人 繼續 貌似 誠懇 地 做 跳針式 喊話 ，	
玩弄	LL	立委 投票 部隊 玩弄 虛假 審查 招數 ，	
虛假	LL	立委 投票 部隊 玩弄 虛假 審查 招數 ，	
招數	LL	立委 投票 部隊 玩弄 虛假 審查 招數 ，	
唬弄	LL	行政 部門 推出 經貿 會議 、 監督 條例 唬弄 大眾 ，	
圍 事	LL	連 黑道 都 出動 圍 事 。	
變 不 出新 把戲	LL	只 自 曝馬 政府 變 不 出新 把戲 ，	
